Name                                                                           Version           
Python 3.12.0 Standard Library (64-bit)                                        3.12.150.0        
blender                                                                        4.1.1             
DaVinci Resolve                                                                18.1.20006        
Python 3.12.0 Test Suite (64-bit)                                              3.12.150.0        
Python 3.12.0 Documentation (64-bit)                                           3.12.150.0        
Python 3.12.0 Core Interpreter (64-bit)                                        3.12.150.0        
MongoDB Shell                                                                  2.0.2             
Python 3.12.0 Executables (64-bit)                                             3.12.150.0        
Python 3.12.0 Development Libraries (64-bit)                                   3.12.150.0        
Python 3.12.0 pip Bootstrap (64-bit)                                           3.12.150.0        
Python 3.12.0 Tcl/Tk Support (64-bit)                                          3.12.150.0        
blender                                                                        3.4.1             
Viber                                                                          19.2.0.0          
Office 16 Click-to-Run Extensibility Component                                 16.0.17830.20138  
Office 16 Click-to-Run Licensing Component                                     16.0.17830.20138  
Microsoft.Maui.Controls.Ref.any (x64)                                          7.0.92.0          
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                    7.0.11.0          
UE Prerequisites (x64)                                                         1.0.20.0          
Windows SDK Desktop Headers x64                                                10.1.22000.832    
Python 3.9.13 pip Bootstrap (64-bit)                                           3.9.13150.0       
Microsoft.Maui.Essentials.Runtime.maccatalyst (x64)                            7.0.92.0          
Windows SDK for Windows Store Apps                                             10.1.22621.1778   
vs_devenx64vmsi                                                                17.7.33905        
Microsoft.Maui.Core.Ref.ios (x64)                                              7.0.92.0          
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)              7.0.11.0          
Universal CRT Headers Libraries and Sources                                    10.1.22621.1778   
Windows SDK for Windows Store Apps Metadata                                    10.1.22000.832    
Microsoft .NET Targeting Pack - 7.0.11 (x64)                                   56.44.907         
Windows Subsystem for Linux                                                    2.0.14.0          
WinRT Intellisense Desktop - Other Languages                                   10.1.22000.832    
Windows SDK for Windows Store Apps Contracts                                   10.1.22000.832    
Intel(R) C++ Redistributables for Windows* on Intel(R) 64                      11.1.072          
Windows SDK Desktop Headers arm                                                10.1.22000.832    
Python 3.9.13 Utility Scripts (64-bit)                                         3.9.13150.0       
WinRT Intellisense Desktop - Other Languages                                   10.1.22621.1778   
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                               7.0.11.0          
vs_communityx64msi                                                             17.7.33906        
Windows SDK Facade Windows WinMD Versioned                                     10.1.22000.832    
Microsoft .NET Host FX Resolver - 7.0.11 (x86)                                 56.44.907         
Microsoft .NET Targeting Pack - 6.0.32 (x64)                                   48.128.16743      
Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64)                                   16.4.7098         
Python 3.9.13 Test Suite (64-bit symbols)                                      3.9.13150.0       
Windows SDK Desktop Libs x86                                                   10.1.22621.1778   
Windows App Certification Kit x64                                              10.1.22621.1778   
Microsoft.NET.Sdk.Maui.Manifest-6.0.300                                        24.78.0           
Microsoft .NET Framework 4.8 Targeting Pack                                    4.8.03761         
Microsoft Windows Desktop Runtime - 6.0.22 (x86)                               48.88.914         
Microsoft.Maui.Graphics (x64)                                                  7.0.92.0          
Microsoft .NET Host - 6.0.32 (x64)                                             48.128.16743      
Python 3.9.13 Executables (64-bit symbols)                                     3.9.13150.0       
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                    10.0.40219        
Windows SDK for Windows Store Apps Libs                                        10.1.22621.1778   
CMake                                                                          3.27.7            
Microsoft .NET Runtime - 7.0.11 (x64)                                          56.44.907         
Microsoft.iOS.Runtime.ios-arm (x64)                                            16.4.7098.0       
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                     12.0.40664        
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                          56.44.898         
Microsoft Windows Desktop Targeting Pack - 7.0.11 (x86)                        56.44.917         
Microsoft.Maui.Controls.Runtime.win (x64)                                      7.0.92.0          
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                         7.0.11.0          
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                    10.0.40219        
Microsoft Windows Desktop Runtime - 7.0.11 (x64)                               56.44.917         
WinRT Intellisense Desktop - en-us                                             10.1.22000.832    
vs_Graphics_Singletonx64                                                       17.7.33906        
Windows SDK for Windows Store Apps Contracts                                   10.1.22621.1778   
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                           7.0.11.0          
Microsoft ASP.NET Core 7.0.11 Shared Framework (x86)                           7.0.11.23425      
vs_filehandler_x86                                                             17.7.33905        
Microsoft.Maui.Essentials.Ref.maccatalyst (x64)                                7.0.92.0          
Microsoft ASP.NET Core 7.0.11 Targeting Pack (x64)                             7.0.11.23425      
Windows Subsystem for Linux WSLg Preview                                       1.0.27            
Windows IoT Extension SDK Contracts                                            10.1.22000.832    
Windows SDK Desktop Tools x64                                                  10.1.22000.832    
Microsoft.NET.Workload.Emscripten.Manifest (x64)                               48.128.15345      
Microsoft.iOS.Windows.Sdk (x64)                                                16.4.7098.0       
DaVinci Resolve Control Panels                                                 2.0.6.0           
Universal CRT Tools x86                                                        10.1.22621.1778   
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532                 14.36.32532       
Microsoft .NET Runtime - 6.0.32 (x64)                                          48.128.16743      
Windows SDK Desktop Libs x86                                                   10.1.22000.832    
Microsoft.NET.Sdk.Android.Manifest-6.0.300                                     128.75.16384      
IntelliTraceProfilerProxy                                                      15.0.21225.01     
Visual C++ Library CRT Appx Package                                            14.37.32822       
Microsoft Visual Studio Setup WMI Provider                                     3.7.2182.35401    
Microsoft.Maui.Core.Runtime.win (x64)                                          7.0.92.0          
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                           6.0.22.0          
WinRT Intellisense PPI - en-us                                                 10.1.22000.832    
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)            6.0.22.0          
Windows SDK Facade Windows WinMD Versioned                                     10.1.22621.1778   
vs_communitysharedmsi                                                          17.7.33906        
MariaDB 11.1 (x64)                                                             11.1.0.0          
Microsoft.Maui.Controls.Runtime.ios (x64)                                      7.0.92.0          
PowerShell 7-x64                                                               7.4.4.0           
vs_minshellinteropsharedmsi                                                    17.7.33905        
Microsoft.Maui.Core.Ref.win (x64)                                              7.0.92.0          
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                           7.0.11.0          
Microsoft.Maui.Core.Runtime.ios (x64)                                          7.0.92.0          
Windows SDK Desktop Headers x86                                                10.1.22000.832    
Microsoft.MacCatalyst.Runtime.maccatalyst-arm64 (x64)                          16.4.7098.0       
Microsoft .NET Host FX Resolver - 6.0.32 (x64)                                 48.128.16743      
Microsoft.Maui.Core.Ref.android (x64)                                          7.0.92.0          
Microsoft.Maui.Essentials.Ref.any (x64)                                        7.0.92.0          
Microsoft.Maui.Essentials.Runtime.android (x64)                                7.0.92.0          
.NET Android Templates (x64)                                                   33.0.68.0         
WinRT Intellisense PPI - Other Languages                                       10.1.22621.1778   
starship                                                                       1.12.0            
SDK ARM Redistributables                                                       10.1.22621.1778   
vs_filehandler_amd64                                                           17.7.33905        
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                            4.7.03062         
Microsoft ASP.NET Core 6.0.22 Shared Framework (x64)                           6.0.22.23424      
Microsoft.MacCatalyst.Templates (x64)                                          16.4.7098.0       
VS Script Debugging Common                                                     17.0.125.0        
Windows SDK for Windows Store Managed Apps Libs                                10.1.22621.1778   
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                     12.0.40664        
Windows IoT Extension SDK                                                      10.1.22621.1778   
WinRT Intellisense IoT - Other Languages                                       10.1.22621.1778   
Microsoft.Maui.Core.Runtime.android (x64)                                      7.0.92.0          
Microsoft .NET AppHost Pack - 6.0.32 (x64_x86)                                 48.128.16743      
Microsoft.Maui.Sdk (x64)                                                       7.0.92.0          
Windows SDK Desktop Tools arm64                                                10.1.22000.832    
Windows SDK Desktop Tools x64                                                  10.1.22621.1778   
Windows SDK for Windows Store Apps Headers                                     10.1.22621.1778   
Microsoft.Maui.Core.Ref.maccatalyst (x64)                                      7.0.92.0          
Microsoft.Maui.Core.Runtime.any (x64)                                          7.0.92.0          
Windows SDK ARM Desktop Tools                                                  10.1.22000.832    
WinRT Intellisense UAP - en-us                                                 10.1.22621.1778   
Go Programming Language amd64 go1.20.2                                         1.20.2            
Windows Team Extension SDK                                                     10.1.22000.832    
Microsoft.Android.Runtime.33.android-arm (x64)                                 33.0.68.0         
Microsoft .NET Framework 4.8 SDK                                               4.8.03928         
vs_minshellx64msi                                                              17.7.33905        
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                      7.0.11.0          
GitHub CLI                                                                     2.22.1            
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x86 (x64)                      6.0.22.0          
Universal CRT Extension SDK                                                    10.1.22000.832    
Microsoft TestPlatform SDK Local Feed                                          17.0.0.5175695    
Windows Mobile Extension SDK                                                   10.1.22000.832    
Python 3.9.13 Core Interpreter (64-bit)                                        3.9.13150.0       
Microsoft .NET AppHost Pack - 7.0.11 (x64_arm64)                               56.44.907         
WinAppDeploy                                                                   10.1.22000.832    
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                             6.0.22.0          
Windows SDK Desktop Libs arm                                                   10.1.22000.832    
Windows Mobile Extension SDK Contracts                                         10.1.22621.1778   
Python Launcher                                                                3.12.150.0        
Python 3.9.13 Documentation (64-bit)                                           3.9.13150.0       
Microsoft .NET Toolset 6.0.424 (x64)                                           24.14.7218        
WinRT Intellisense UAP - Other Languages                                       10.1.22000.832    
DiagnosticsHub_CollectionService                                               17.3.32601        
WinAppDeploy                                                                   10.1.22621.1778   
Windows SDK Modern Non-Versioned Developer Tools                               10.1.22621.1778   
Microsoft ASP.NET Core 6.0.22 Targeting Pack (x86)                             6.0.22.23424      
Windows Team Extension SDK Contracts                                           10.1.22000.832    
Microsoft .NET Framework 4.8 Targeting Pack (ENU)                              4.8.03761         
Microsoft .NET AppHost Pack - 6.0.22 (x64_x86)                                 48.88.905         
Microsoft.iOS.Runtime.iossimulator-x64 (x64)                                   16.4.7098.0       
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)              6.0.22.0          
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)              7.0.11.0          
Windows Mobile Extension SDK                                                   10.1.22621.1778   
Universal CRT Extension SDK                                                    10.1.22621.1778   
Microsoft.MacCatalyst.Ref (x64)                                                16.4.7098.0       
WinRT Intellisense Mobile - en-us                                              10.1.22000.832    
Microsoft.Maui.Core.Ref.any (x64)                                              7.0.92.0          
WinRT Intellisense IoT - en-us                                                 10.1.22621.1778   
WinRT Intellisense Desktop - en-us                                             10.1.22621.1778   
Windows App Certification Kit x64 (OnecoreUAP)                                 10.1.22621.1778   
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161                 9.0.30729.6161    
Windows SDK Modern Versioned Developer Tools                                   10.1.22621.1778   
.NET MAUI Templates (x64)                                                      6.0.553.0         
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                    6.0.22.0          
Windows SDK for Windows Store Apps DirectX x86 Remote                          10.1.22621.1778   
WinRT Intellisense IoT - en-us                                                 10.1.22000.832    
Microsoft ASP.NET Core 7.0.11 Targeting Pack (x86)                             7.0.11.23425      
Windows SDK Desktop Tools x86                                                  10.1.22000.832    
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                    7.0.11.0          
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                          56.44.898         
Microsoft.Maui.Controls.Runtime.android (x64)                                  7.0.92.0          
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                 9.0.30729.6161    
Windows SDK Desktop Libs x64                                                   10.1.22000.832    
Universal CRT Redistributable                                                  10.1.22621.1778   
icecap_collection_x64                                                          17.7.33905        
Microsoft.Maui.Sdk (x64)                                                       6.0.553.0         
Microsoft.Maui.Controls.Ref.maccatalyst (x64)                                  7.0.92.0          
.NET MAUI Templates (x64)                                                      7.0.92.0          
Microsoft.Maui.Controls.Runtime.maccatalyst (x64)                              7.0.92.0          
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)            7.0.11.0          
Microsoft .NET 7.0 Templates 7.0.401 (x64)                                     28.6.49314        
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                     7.0.11.0          
Microsoft.iOS.Runtime.iossimulator-arm64 (x64)                                 16.4.7098.0       
Windows Subsystem for Linux Update                                             5.10.102.1        
Windows SDK Desktop Headers arm64                                              10.1.22621.1778   
Microsoft .NET AppHost Pack - 6.0.22 (x64)                                     48.88.905         
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                             7.0.11.0          
OpenVPN Connect                                                                3.4.4             
Windows SDK for Windows Store Apps Tools                                       10.1.22000.832    
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                               6.0.22.0          
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.36.32532                      14.36.32532       
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                     6.0.22.0          
Microsoft .NET Targeting Pack - 7.0.11 (x86)                                   56.44.907         
Application Verifier x64 External Package (OnecoreUAP)                         10.1.22621.1778   
Microsoft.NET.Workload.Mono.Toolchain.Manifest                                 48.3.40665        
Python 3.9.13 Tcl/Tk Support (64-bit)                                          3.9.13150.0       
Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)                                  7.0.92            
Windows SDK Desktop Headers x64                                                10.1.22621.1778   
Visual C++ Library CRT ARM64 Appx Package                                      14.37.32822       
Ableton Live 11 Lite                                                           11.0.0.0          
Windows SDK for Windows Store Apps Tools                                       10.1.22621.1778   
vs_clickoncesigntoolmsi                                                        17.7.33905        
Microsoft NetStandard SDK                                                      15.0.51105        
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030                  11.0.61030        
Windows SDK Desktop Libs arm                                                   10.1.22621.1778   
Microsoft .NET AppHost Pack - 7.0.11 (x64_arm)                                 56.44.907         
Visual C++ Library CRT Appx Package                                            14.37.32822       
Windows Desktop Extension SDK Contracts                                        10.1.22000.832    
Microsoft.Android.Sdk.Windows (x64)                                            32.0.509.0        
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                         6.0.22.0          
ClickOnce Bootstrapper Package for Microsoft .NET Framework                    4.8.09037         
Windows IoT Extension SDK Contracts                                            10.1.22621.1778   
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x86 (x64)                      7.0.11.0          
Windows SDK for Windows Store Apps Metadata                                    10.1.22621.1778   
Universal CRT Redistributable                                                  10.1.22000.832    
Python 3.9.13 Test Suite (64-bit)                                              3.9.13150.0       
Universal General MIDI DLS Extension SDK                                       10.1.22000.832    
Windows SDK Desktop Libs arm64                                                 10.1.22621.1778   
Windows Desktop Extension SDK                                                  10.1.22000.832    
Windows App Certification Kit SupportedApiList x86                             10.1.22621.1778   
IntelliTraceProfilerProxy                                                      15.0.21225.01     
icecap_collectionresourcesx64                                                  17.7.33905        
LibreOffice 24.2.4.2                                                           24.2.4.2          
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300                                 125.191.42208     
Visual C++ Library CRT Desktop Appx Package                                    14.37.32822       
Windows SDK Desktop Libs x64                                                   10.1.22621.1778   
Xamarin Remoted iOS Simulator                                                  17.6.0.524        
vs_SQLClickOnceBootstrappermsi                                                 17.7.33905        
Windows App Certification Kit Native Components                                10.1.22621.1778   
WinRT Intellisense UAP - Other Languages                                       10.1.22621.1778   
Microsoft .NET AppHost Pack - 6.0.22 (x64_arm)                                 48.88.905         
Windows SDK for Windows Store Apps DirectX x86 Remote                          10.1.22000.832    
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                       6.0.22.0          
Microsoft.Maui.Controls.Ref.android (x64)                                      7.0.92.0          
Microsoft Visual Studio Setup Configuration                                    3.7.2174.19405    
Asmedia ASM104x USB 3.0 Host Controller Driver                                 1.16.12.0         
Microsoft.NET.Sdk.macOS.Manifest-6.0.300                                       100.255.42208     
Microsoft.iOS.Windows.Sdk (x64)                                                16.4.60.0         
Microsoft Windows Desktop Targeting Pack - 6.0.22 (x64)                        48.88.914         
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                           6.0.22.0          
                                                                                                 
MSI Development Tools                                                          10.1.22000.832    
Microsoft.MacCatalyst.Runtime.maccatalyst-x64 (x64)                            16.4.7098.0       
Microsoft .NET AppHost Pack - 7.0.11 (x64_x86)                                 56.44.907         
Microsoft .NET AppHost Pack - 7.0.11 (x64)                                     56.44.907         
Microsoft .NET Runtime - 6.0.22 (x64)                                          48.88.905         
Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)                               33.0.68           
Python 3.9.13 Development Libraries (64-bit)                                   3.9.13150.0       
Microsoft Windows Desktop Targeting Pack - 6.0.32 (x64)                        48.128.16742      
Microsoft .NET AppHost Pack - 6.0.32 (x64_arm64)                               48.128.16743      
Microsoft.Android.Runtime.33.android-x64 (x64)                                 33.0.68.0         
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)              7.0.11.0          
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)  4.8.09037         
Microsoft Windows Desktop Targeting Pack - 6.0.22 (x86)                        48.88.914         
Microsoft .NET Framework 4.6.2 Targeting Pack                                  4.6.01590         
Visual C++ Library CRT Desktop Appx Package                                    14.37.32822       
Microsoft ASP.NET Core 6.0.32 Targeting Pack (x64)                             6.0.32.24314      
Microsoft ASP.NET Core 6.0.22 Shared Framework (x86)                           6.0.22.23424      
Windows SDK for Windows Store Apps Headers                                     10.1.22000.832    
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                           7.0.11.0          
Oracle VM VirtualBox 7.0.14                                                    7.0.14            
Microsoft ASP.NET Core 7.0.11 Shared Framework (x64)                           7.0.11.23425      
Microsoft.Maui.Resizetizer.Sdk (x64)                                           7.0.92.0          
vs_communitymsires                                                             17.7.33905        
vs_CoreEditorFonts                                                             17.4.33213        
Universal CRT Headers Libraries and Sources                                    10.1.22000.832    
Microsoft .NET SDK 7.0.401 (x64) from Visual Studio                            7.4.123.42530     
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                  12.0.40664        
Universal General MIDI DLS Extension SDK                                       10.1.22621.1778   
Windows Desktop Extension SDK                                                  10.1.22621.1778   
Windows SDK Modern Versioned Developer Tools                                   10.1.22000.832    
OpenOffice 4.1.15                                                              4.115.9813        
WinRT Intellisense Mobile - en-us                                              10.1.22621.1778   
Windows SDK Desktop Headers x86                                                10.1.22621.1778   
Microsoft.Maui.Essentials.Runtime.win (x64)                                    7.0.92.0          
Windows SDK EULA                                                               10.1.22000.832    
Microsoft .NET 6.0 Templates 6.0.424 (x64)                                     24.8.7218         
Microsoft.MacCatalyst.Sdk (x64)                                                16.4.7098.0       
Windows SDK Redistributables                                                   10.1.22621.1778   
Windows IoT Extension SDK                                                      10.1.22000.832    
MongoDB 7.0.1 2008R2Plus SSL (64 bit)                                          7.0.1             
vs_devenvsharedmsi                                                             17.7.33905        
Microsoft .NET AppHost Pack - 6.0.32 (x64_arm)                                 48.128.16743      
Microsoft.Maui.Essentials.Ref.android (x64)                                    7.0.92.0          
Windows Mobile Extension SDK Contracts                                         10.1.22000.832    
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64)                                  16.4.7098         
Application Verifier x64 External Package (DesktopEditions)                    10.1.22621.1778   
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)              6.0.22.0          
Universal CRT Redistributable                                                  10.0.26624        
PowerToys (Preview)                                                            0.80.0            
Microsoft .NET AppHost Pack - 6.0.32 (x64)                                     48.128.16743      
vs_Graphics_Singletonx86                                                       17.7.33906        
Kits Configuration Installer                                                   10.1.22621.1778   
Microsoft.Maui.Controls.Ref.ios (x64)                                          7.0.92.0          
Epic Online Services                                                           2.0.39.0          
Microsoft .NET 6.0 Templates 7.0.401 (x64)                                     24.7.49314        
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532                 14.36.32532       
Windows SDK                                                                    10.1.22621.1778   
Python 3.9.13 Standard Library (64-bit)                                        3.9.13150.0       
Microsoft .NET Runtime - 7.0.11 (x86)                                          56.44.907         
Microsoft Windows Desktop Targeting Pack - 7.0.11 (x64)                        56.44.917         
Windows Team Extension SDK Contracts                                           10.1.22621.1778   
Microsoft.Android.Ref.33 (x64)                                                 33.0.68.0         
Microsoft.Maui.Essentials.Runtime.any (x64)                                    7.0.92.0          
Microsoft System CLR Types for SQL Server 2019                                 15.0.2000.5       
Visual C++ Library CRT Appx Resource Package                                   14.37.32822       
Wireshark                                                                      4.1.0.0           
VS JIT Debugger                                                                17.0.125.0        
Microsoft Windows Desktop Runtime - 6.0.32 (x64)                               48.128.16742      
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                           24.0.28113        
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                  11.0.61030        
Microsoft .NET Host - 7.0.11 (x86)                                             56.44.907         
Microsoft.Maui.Graphics.Win2D.WinUI.Desktop (x64)                              7.0.92.0          
Microsoft.iOS.Sdk (x64)                                                        16.4.60.0         
Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)                                 13.3.7098         
Windows SDK Signing Tools                                                      10.1.22621.1778   
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                     11.0.61030        
Microsoft .NET AppHost Pack - 6.0.22 (x64_arm64)                               48.88.905         
Yarn                                                                           1.22.19           
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                           6.0.22.0          
vs_minshellinteropx64msi                                                       17.7.33905        
Microsoft.Maui.Controls.Runtime.any (x64)                                      7.0.92.0          
Microsoft ASP.NET Core 6.0.22 Targeting Pack (x64)                             6.0.22.23424      
Windows Team Extension SDK                                                     10.1.22621.1778   
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)              6.0.22.0          
WinRT Intellisense IoT - Other Languages                                       10.1.22000.832    
Microsoft.iOS.Ref (x64)                                                        16.4.7098.0       
Eclipse Temurin JDK with Hotspot 17.0.7+7 (x64)                                17.0.7.7          
Windows Desktop Extension SDK Contracts                                        10.1.22621.1778   
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                      6.0.22.0          
Microsoft.AspNetCore.Components.WebView.Maui (x64)                             7.0.92.0          
Microsoft.NETCore.App.Runtime.Mono.ios-arm (x64)                               7.0.11.0          
Microsoft.Maui.Essentials.Ref.win (x64)                                        7.0.92.0          
Microsoft Build of OpenJDK with Hotspot 11.0.16.1+1 (x64)                      11.0.16.101       
Microsoft.NET.Sdk.iOS.Manifest-6.0.300                                         125.191.42208     
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                       7.0.11.0          
Blackmagic RAW Common Components                                               2.8               
windows_toolscorepkg                                                           17.7.33906        
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                  12.0.40664        
Microsoft .NET Toolset 7.0.401 (x64)                                           28.6.49314        
Microsoft.Android.Sdk.Windows (x64)                                            33.0.68.0         
Epic Games Launcher                                                            1.3.67.0          
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.36.32532                      14.36.32532       
vs_clickoncebootstrappermsires                                                 17.7.33905        
Microsoft.iOS.Sdk (x64)                                                        16.4.7098.0       
WinRT Intellisense UAP - en-us                                                 10.1.22000.832    
Microsoft .NET Host FX Resolver - 7.0.11 (x64)                                 56.44.907         
Microsoft.iOS.Runtime.ios-arm64 (x64)                                          16.4.7098.0       
icecap_collection_neutral                                                      17.7.33906        
Windows SDK DirectX x86 Remote                                                 10.1.22621.1778   
Windows SDK for Windows Store Apps Libs                                        10.1.22000.832    
Windows SDK Signing Tools                                                      10.1.22000.832    
Windows SDK Desktop Libs arm64                                                 10.1.22000.832    
Microsoft.Maui.Essentials.Runtime.ios (x64)                                    7.0.92.0          
Visual C++ Library CRT Desktop Appx Package                                    14.37.32822       
Podman 5.0.2                                                                   5.0.2             
Microsoft .NET Host - 7.0.11 (x64)                                             56.44.907         
Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)                            4.6.01590         
Microsoft Windows Desktop Runtime - 7.0.11 (x86)                               56.44.917         
icecap_collectionresources                                                     17.7.33906        
Node.js                                                                        19.5.0            
Microsoft Windows Desktop Runtime - 6.0.22 (x64)                               48.88.914         
Microsoft .NET Framework 4.7.2 Targeting Pack                                  4.7.03062         
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                     11.0.61030        
vs_minshellsharedmsi                                                           17.7.33905        
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                    6.0.22.0          
SDK ARM Additions                                                              10.1.22621.1778   
Microsoft.Android.Runtime.33.android-arm64 (x64)                               33.0.68.0         
MSI Development Tools                                                          10.1.22621.1778   
Python 3.9.13 Tcl/Tk Support (64-bit symbols)                                  3.9.13150.0       
Python 3.9.13 Standard Library (64-bit symbols)                                3.9.13150.0       
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64)                           16.4.7098         
Microsoft.NETCore.App.Runtime.Mono.ios-arm (x64)                               6.0.22.0          
Windows SDK Desktop Headers arm64                                              10.1.22000.832    
Microsoft Update Health Tools                                                  5.72.0.0          
Microsoft.Maui.Controls.Ref.win (x64)                                          7.0.92.0          
Microsoft.Maui.Core.Runtime.maccatalyst (x64)                                  7.0.92.0          
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532                    14.36.32532       
Windows SDK DirectX x64 Remote                                                 10.1.22621.1778   
Microsoft .NET Targeting Pack - 6.0.22 (x64)                                   48.88.905         
